sample	cluster_NB_label_1000_genes
SRR2182228	2
SRR2182229	2
SRR2182230	2
SRR2182231	2
SRR2182232	2
SRR2182233	2
SRR2182234	2
SRR2182235	2
SRR2182285	3
SRR2182286	1
SRR2182287	3
SRR2182288	3
SRR2182289	1
SRR2182290	4
SRR2182291	1
SRR2182292	3
SRR2182293	1
SRR2182294	1
SRR2182295	5
SRR2182296	1
SRR2182297	3
SRR2182298	4
SRR2182299	1
SRR2182300	3
SRR2182301	5
SRR2182302	1
SRR2182303	3
SRR2182304	4
SRR2182305	3
SRR2182306	4
SRR2182307	1
SRR2182308	5
SRR2182309	1
SRR2182310	1
SRR2182311	5
SRR2182312	3
SRR2182313	1
SRR2182314	1
SRR2182315	3
SRR2182316	4
SRR2182317	3
SRR2182318	4
SRR2182319	3
SRR2182320	5
SRR2182321	3
SRR2182322	6
SRR2182323	1
SRR2182324	3
SRR2182325	1
SRR2182326	1
SRR2182327	3
SRR2182328	3
SRR2182329	1
SRR2182330	3
SRR2182331	1
