Unnamed: 0.1	Unnamed: 0	sample	SVM_label	RFC_label	LogisticRegression_label	KNN_label	NaiveBayes_label	time_status_NB_label	One_Day_After_Defeat_count	One_Month_After_Defeat_count
0	0	SRR2182228	One_Month_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	3	3
1	1	SRR2182229	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	6	0
2	2	SRR2182230	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	6	0
3	3	SRR2182231	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	6	0
4	4	SRR2182232	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	6	0
5	5	SRR2182233	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	6	0
6	6	SRR2182234	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	6	0
7	7	SRR2182235	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	One_Day_After_Defeat	6	0
8	8	SRR2182285	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
9	9	SRR2182286	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
10	10	SRR2182287	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
11	11	SRR2182288	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
12	12	SRR2182289	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
13	13	SRR2182290	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
14	14	SRR2182291	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
15	15	SRR2182292	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
16	16	SRR2182293	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
17	17	SRR2182294	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
18	18	SRR2182295	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
19	19	SRR2182296	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
20	20	SRR2182297	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
21	21	SRR2182298	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
22	22	SRR2182299	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
23	23	SRR2182300	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
24	24	SRR2182301	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
25	25	SRR2182302	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
26	26	SRR2182303	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
27	27	SRR2182304	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
28	28	SRR2182305	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
29	29	SRR2182306	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	One_Month_After_Defeat	0	6
