Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
Mir686	57.794212776173616	11.364131746931237	2.9330596500515527	6.062359851212148e-34	1.8130872243757656e-32	TRUE
Mir546	36.21212939869338	10.61884672263046	2.8559621859304962	6.20212283451293e-30	1.6811996831128686e-28	TRUE
Gm39043	136.05759282296597	9.329658575681046	1.3240587386107991	3.314190190667179e-17	5.288651201785505e-16	TRUE
Prss32	15.785504189724232	8.93593454194133	2.978574710513497	1.568540047548123e-8	1.086097340497903e-7	TRUE
Gm48057	14.189096469403557	8.8994033922581135	2.834847039180498	3.0591953526878725e-11	2.9621196854070393e-10	TRUE
Hmga1b	748.1205098113356	8.795438236310636	0.4161964631312628	3.2889966805421437e-100	5.0179422328811896e-98	TRUE
Gm5901	13.591060530116296	8.743903429085396	2.8971378262167824	3.5077722889087493e-9	2.6454742245677874e-8	TRUE
Gm57663	8.861027488174948	8.249563073157718	2.6252361171617853	5.662686482573126e-16	8.423152883827481e-15	TRUE
Six3	1523.04562041313	8.150950621595001	0.7062743972056406	1.696402101926403e-33	5.007158099542245e-32	TRUE
Isl1	379.3636678910361	8.107870572800005	0.8063626490471453	9.630996826658399e-26	2.2629334895519943e-24	TRUE
Mir8099-1	8.322018189151882	8.084501766708247	2.6295773062601455	3.438619277530517e-14	4.3841910382066107e-13	TRUE
Mir6340	7.837889498421778	8.009687507620363	2.6280968056248515	1.7647170683415517e-13	2.12405711104223e-12	TRUE
Lhx8	264.2447477366785	7.9204113104292455	0.9614481692545167	1.9333458895675786e-18	3.3298970393925194e-17	TRUE
Ankk1	169.6572197811153	7.8285412888173775	0.9029243385531692	7.298423594703562e-20	1.3398244290114344e-18	TRUE
Fgf3	161.25437060415888	7.449623702047695	0.9011938862859593	1.7528635561628164e-18	3.0282830220471614e-17	TRUE
Serpina9	1144.8272418675585	7.296891961772295	0.7921841155810578	8.614711391979792e-23	1.784588836980768e-21	TRUE
Sh3rf2	1077.9059287174748	6.951013916439942	0.7250749911464272	2.631617216638212e-24	5.814277568658594e-23	TRUE
Gm24201	4.308441501702318	6.827903813552593	2.5858504610887847	1.062716014955633e-7	6.614147634426183e-7	TRUE
Lce3f	5.274185155335319	6.818052672013344	2.9650837824287675	6.582458971436637e-5	2.535515584698725e-4	TRUE
Calcr	107.37423460849593	6.555651842945936	0.9778519515979549	1.6921148427051033e-13	2.039933430233915e-12	TRUE
Ttr	3463.045393291379	6.514361361373949	0.9982272323815803	3.916890701104556e-8	2.5777730116858314e-7	TRUE
Ucn3	26.627418129508133	6.452551788098416	1.6852875606881856	2.063561888876636e-7	1.2356199270971742e-6	TRUE
Mir6244	3.2250423665095425	6.432787413113507	2.468767149685103	2.190414271823008e-8	1.491092983351327e-7	TRUE
Ntrk1	274.0135962681234	6.395052515157072	0.794893629493802	3.7978737070865e-18	6.433307449813441e-17	TRUE
Strit1	3.313066305529204	6.3321199470266984	2.544876368379893	1.2109093658875015e-6	6.382430784719837e-6	TRUE
Slc18a3	305.66004651620756	6.330691177285096	0.8292739660818091	8.857753269807654e-17	1.3803179353502886e-15	TRUE
Scn4b	23571.188019159617	6.265499312462643	0.6691501887003364	2.6583655681606337e-23	5.625669590353056e-22	TRUE
Nms	3.030525597569705	6.195078212413015	2.512554766466034	1.2304018136315622e-6	6.480117582352742e-6	TRUE
Gbx1	138.99872605837137	6.183794170647628	0.8909374017562278	2.241093856038038e-14	2.89993692087902e-13	TRUE
Drd3	99.51157179611832	6.177843643852601	0.8738887078800908	1.7015111474751862e-14	2.222100735106403e-13	TRUE
Mir8097	3.18306558829296	6.175283376812266	2.5990225206824094	1.031717848322755e-5	4.625012708979116e-5	TRUE
Chat	1119.536187763351	6.08371967831455	0.9936731618790491	2.6105016356791852e-12	2.8095866031285034e-11	TRUE
Gm26447	2.623699807862338	5.978063720859042	2.470657128459664	1.695381443475512e-6	8.73015119582145e-6	TRUE
Or2y1g	202.64124589088277	5.951711447304911	0.7675548898186916	4.87095700132898e-17	7.696725618615001e-16	TRUE
Gm10076	895.6850260934078	5.843708887016354	0.17213901922372954	6.096611372376931e-253	1.3766148478827112e-248	TRUE
C030007H22Rik	7.092869048563022	5.76856733386848	1.396160519588732	3.2079152436474774e-9	2.4355994015319446e-8	TRUE
Htr1d	409.4499846830837	5.600845662811106	0.7056290634423785	1.0046108636308241e-17	1.6557746934878838e-16	TRUE
Impg1	50.28124443572338	5.5780845801939405	0.8382496795770777	5.143687739174163e-13	5.92573822196697e-12	TRUE
Gm136	24.75090750405181	5.525037492514999	1.024519757612462	1.9088605168803675e-9	1.491937364872229e-8	TRUE
Adora2a	6428.476717244278	5.42915567864137	0.6932647211009652	2.5710331052764715e-17	4.146709108367338e-16	TRUE
Snora33	1.8349366205618065	5.366344745447666	2.3432648049727325	3.296179424549819e-6	1.6116875575213278e-5	TRUE
Tmem275	59.472606205565306	5.356443893389682	0.8204120063590378	1.1085049620713096e-12	1.2384978744962974e-11	TRUE
Or1ad1	1.8890044742828807	5.329447563764893	2.3286621512990218	2.695547671438532e-6	1.3382908184054981e-5	TRUE
Mir6363	1.9161566030599912	5.320659161436638	2.3752486915332836	1.1410517388088821e-5	5.087224061545944e-5	TRUE
Slc10a4	559.9245999187741	5.309651986139151	0.6805194714574289	3.27612741628679e-17	5.239019621795731e-16	TRUE
Six3os1	638.1960005102328	5.288696321303992	0.572795908633939	1.6511860205880666e-22	3.395608410280378e-21	TRUE
Crabp1	191.8936621020989	5.281806457873897	0.560974305537644	4.0618080433270784e-23	8.523757027725411e-22	TRUE
Ppp1r1b	32176.155805121358	5.249156200706104	0.5613956021636344	5.313521564819628e-23	1.1098919235303162e-21	TRUE
Capza3	2.5037602159185	5.241136130272266	3.0019476628273667	0.001591305888447898	0.004572624963241733	TRUE
Gm14424	1.8267864227428596	5.235762228702202	2.3603243029470655	1.3669179391263269e-5	6.007202620761475e-5	TRUE
Gm25663	1.7862504446589522	5.234745075645159	2.3551650161314845	1.2309083221630105e-5	5.460493106962824e-5	TRUE
Mir2861	1.9532684589183842	5.19242689442542	2.5926808680261972	3.627275795119985e-4	0.001207131723711264	TRUE
Drd2	4771.174415343429	5.183831078089809	0.6049415251371325	5.232985821072172e-20	9.685313101623741e-19	TRUE
1700003D09Rik	421.2723477828181	5.114153441358587	0.5904812099996442	3.404729994215674e-20	6.348373515226253e-19	TRUE
Slc35d3	957.7331011864696	5.057760096321191	0.6237583262884349	3.267683395393254e-18	5.556046014155097e-17	TRUE
Mir1191	1.7403196535959509	5.054228416633138	2.399443108679092	7.852792317884462e-5	2.980602631330159e-4	TRUE
Sfta3-ps	96.87197362460516	5.044793661022879	0.6546007183388355	1.4265804509987945e-16	2.1898155393305764e-15	TRUE
Penk	34744.14534013792	4.961771910422751	0.6526959387280641	1.9550254741674156e-16	2.9787095281174256e-15	TRUE
Tmprss6	94.08098099656216	4.946493862543878	0.6928730032899659	1.0175938229035243e-14	1.3587976653555045e-13	TRUE
Chst4	6.638471408330852	4.921599253134995	1.0495879832887955	2.45670012382712e-9	1.8906710564422756e-8	TRUE
Gm8797	2223.5111423733088	4.831719192319714	0.16002472382863217	3.699619288553227e-202	8.353740353553186e-199	TRUE
Sowahd	2.1249514536797576	4.82398689390593	3.031855457524571	0.002921504781850981	0.007876725728262108	TRUE
