ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_LEUKOCYTE_MEDIATED_IMMUNITY	378	-0.8177870978010168	-2.238666197702369	4.142538773972868e-55	1.230334015869942e-51	9.013292258738863e-52	2237	tags=51%, list=10%, signal=47%	Fadd/Clnk/Adam17/Ighv14-3/Pik3cd/Trem2/Hfe/Adgre5/C8b/Stap1/Rab27a/Ighv1-63/Stat6/Cx3cr1/Spon2/Dbh/Tnfsf13/Trbc2/Cd70/Gata1/Tcirg1/H2-DMa/Anxa3/Il13ra2/Il1r1/Il9r/Mr1/Trex1/C6/Fut7/Tgfb1/Cd160/Clcf1/Vamp8/Tlr3/Il6/Sla2/Il2/Cd300a/H2-Q1/Serpinb9/Myd88/Irak4/Lta/C2/Ighg2c/H2-M2/Unc13d/Nckap1l/Lag3/Foxp3/Jak3/Tyrobp/Inpp5d/Itgam/Syk/Pik3cg/Ptgdr/Rigi/Havcr2/C1qa/Ighm/C1qb/Plcg2/Raet1e/C1qc/H2-Ob/Lyn/Ifnb1/Fes/Parp3/Was/Ctsg/Icam1/C1rb/Tlr4/Btk/Sh2d1b2/Nlrp3/Cd84/Lat2/Ptafr/Ctsh/C1rl/Cd177/Spi1/C4b/H2-M3/Ptpn6/Cd226/Ripk3/Il18r1/Fcer1g/Gata3/Lgals9/Cd19/Vav1/Il23r/Nos2/Tnfrsf1b/Ulbp1/Il27ra/Cd27/Sash3/Il12rb1/Il21r/Lat/Slamf1/Ighv1-82/H2-DMb1/Slamf9/Hmox1/Igha/H2-Oa/H2-Q10/Milr1/Trem1/Csf2rb2/Il7r/Il4ra/Crtam/C1s1/Il1b/Itgb2/Bcl3/Gapt/H2-T23/H2-D1/Ctsc/Serping1/B2m/Fcgr1/Rac2/Fcgr2b/Myo1g/Cd40/Rsad2/Batf/Il21/Bst2/Ptprc/Ighv1-78/Cd28/Tbx21/Slamf6/Dnase1l3/Ighv1-53/Ccl3/Blk/Arg1/Tlr8/Iglc2/Tnfsf4/Pirb/Fgr/Irf7/Scimp/Lilrb4b/Xcl1/Klrk1/Ighg2b/Iglc3/Ccr2/H2-Q7/Cd96/H2-Eb1/Klrd1/Ighv1-42/Iglc1/H2-Ab1/Cd74/Tnf/Ncr1/H2-Aa/Igkc/Ighv1-64/Il12b/Fcgr4/Cd8a/Ighv1-55/Ighv14-4/Klrc2/Ighv9-3/Prf1/Ighg3/Il10/C3/Ighv1-12/Slamf7/Cd40lg/Nkg7/Klrc3/Klrc1/Gzmb
GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	411	-0.800801747159791	-2.19556319202676	3.36032197253229e-52	4.990078129210451e-49	3.65567658801276e-49	2025	tags=44%, list=9%, signal=40%	Stap1/Cmtm3/Sh2b2/Ighv1-63/Bmx/Cav1/C5ar2/Icosl/Trbc2/Zap70/Alpk1/Nfam1/Tnfaip3/Ly96/Nod1/Cd33/Colec12/Nr1h3/Rab29/Tifa/Fyb2/Cd160/Tlr3/Tec/Elf1/Sla2/Cd300a/Lcp2/Btnl2/Cd38/Ffar2/Rab7b/Zc3h12a/Myd88/Irak4/Cd200r1/Lacc1/Txk/Ighg2c/Skap1/Nckap1l/Foxp3/Nmi/Tyrobp/Laptm5/Cmklr1/Ticam2/Plscr1/Trim25/Inpp5d/Syk/Unc93b1/Mapkapk3/Rigi/Havcr2/Cd79a/Ighm/Plcg2/Lyn/Ubash3a/Tlr7/Lck/Mndal/Lilra6/Treml4/Ifi35/Tlr6/Clec4n/Tlr4/Cyba/Btk/Lat2/Birc3/Ctsh/Btla/Ms4a1/H2-M3/Ptpn6/Cd226/Tnip3/Fcer1g/Cd79b/Ctss/Lpxn/Gata3/Tasl/Lgals9/Cd19/Themis/Ptpn22/Vav1/Gcsam/Cd36/Klhl6/Pvrig/Ighv1-82/Fpr2/Tlr1/Igha/H2-Q10/Dhx58/C5ar1/Tespa1/Slc15a3/Tlr9/Irf4/Irf1/Ifih1/Kcnn4/Hck/Itk/Cd22/Reg3g/Pik3ap1/C3ar1/Lax1/Cd247/Fcgr1/Fcgr2b/Themis2/Myo1g/Ccr7/Cd40/Rsad2/Card11/Ddx60/Tlr2/Ptprc/Ighv1-78/Lgals3/Cd28/Irgm2/Irgm1/Ighv1-53/Clec4d/Ctla4/Cd300lf/Oas3/Blk/Oas1a/Tlr8/Iglc2/Oas1g/Gpr33/Pirb/Fgr/Irf7/Scimp/Lilrb4b/Klrk1/Oasl1/Ighg2b/Iglc3/H2-Q7/Pira2/H2-Eb1/Klrd1/Gfi1/Ifi204/Clec4e/Ighv1-42/Iglc1/H2-Ab1/Tnf/Igkc/Ighv1-64/Fcgr4/Cd8a/Ighv1-55/Ighv14-4/Klrc2/Ighv9-3/Ighg3/Ighv1-12/Cd8b1/Ifi205/Acod1/Klrc3/Klrc1
GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION	GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION	461	-0.7819203129169052	-2.142757291604372	2.553339055926013e-50	2.5278056653667532e-47	1.8518427468768667e-47	1975	tags=43%, list=9%, signal=40%	Ighv1-63/Stat6/Zfp36l2/Cav1/Icosl/Ccdc88b/Tnfsf13/Trbc2/Cd70/Gpr183/Zap70/Il15/H2-DMa/Nfam1/Tnfaip3/Bmp4/Axl/Spta1/Trex1/Il15ra/Tnfrsf4/Tgfb1/Tnfrsf13c/Igfbp2/Cd160/Clcf1/Il6/Ebi3/Cd80/Map3k8/Il2/Cgas/Cd300a/Mmp14/Cd38/H2-Q1/Dpp4/Lst1/Hlx/Zc3h12a/Tgfbr2/Myd88/Ighg2c/Vcam1/Lgals1/Nckap1l/Lag3/Foxp3/Dock8/Jak3/Tyrobp/Tnfrsf13b/Laptm5/Samsn1/Vsig4/Prdm1/Tnfaip8l2/Tbc1d10c/Inpp5d/Syk/Ikzf3/Havcr2/Anxa1/Ighm/Il7/H2-Ob/Lyn/Ifnb1/Mzb1/Rasal3/Aif1/Lck/Parp3/Mndal/Ctsg/Tnfsf18/Tnfsf13b/Tlr4/Btk/Nlrp3/Ccl19/Rhoh/Cd86/H2-M3/Ptpn6/Ripk3/Gata3/Lgals9/Cd19/Ptpn22/Vav1/Runx1/Tnfrsf14/Il23r/Tnfrsf1b/Il27ra/Cd27/Sash3/Il12rb1/Lat/Slamf1/Il1a/Ighv1-82/H2-DMb1/Pycard/Igha/H2-Oa/H2-Q10/Tespa1/Tlr9/Irf4/Irf1/Cd6/Il7r/Socs1/Tnfsf11/Pdcd1lg2/Il4ra/Crtam/Il1b/Cd22/H2-T23/Lax1/Tigit/Bst1/Tarm1/B2m/Rac2/Fcgr2b/Themis2/Ccr7/Cd40/Il2ra/Il27/Tnfsf8/Card11/Gpnmb/Il21/Ptprc/Ighv1-78/Fgl2/Lgals3/Cd28/Sit1/Sirpb1b/Cd274/Tbx21/Ighv1-53/Ctla4/Blk/Arg1/Iglc2/Spn/Pglyrp2/Tnfsf4/Pirb/Fgr/Runx3/Cd2/Slamf8/Cd5/Lilrb4b/Xcl1/Klrk1/Tnfsf14/Ighg2b/Iglc3/Ccr2/H2-Q7/H2-Eb1/Ifi204/Sirpb1a/Ighv1-42/Iglc1/H2-Ab1/Icos/Cd74/Ccl2/H2-Aa/Igkc/Ighv1-64/Il12b/Fcgr4/Ighv1-55/Ifng/Ighv14-4/Klrc2/Ighv9-3/Ighg3/Il10/Cd3e/Ighv1-12/Ifi205/Cd40lg/Klrc3/Ccl5/Klrc1
GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION	GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION	369	-0.7973415163421804	-2.1819611479007825	1.2099062823475684e-44	8.983554146430695e-42	6.581253383190589e-42	2248	tags=48%, list=10%, signal=44%	Sox15/Fadd/Ighv14-3/Trem2/Acta2/Tafa3/Wnt5a/Il1rl2/Stap1/Capn3/Ighv1-63/Stat6/Cav1/Rps6ka1/Icosl/Ccdc88b/Tnfsf13/Trbc2/Cd70/Gpr183/Zap70/Il15/Gata1/H2-DMa/Il1rl1/Axl/Pla2g4a/Spta1/Il15ra/Lilra5/Tnfrsf4/Tgfb1/Tnfrsf13c/Igfbp2/Cd160/Clcf1/Vamp8/Il6/Ebi3/Thbs1/Cd80/Map3k8/Il2/Selp/Mmp14/Cd38/H2-Q1/Dpp4/Hlx/Tgfbr2/Myd88/Ighg2c/Vcam1/Lgals1/Nckap1l/Foxp3/Dock8/Jak3/Tyrobp/Inpp5d/Itgam/Syk/Plek/Havcr2/Anxa1/Ighm/Il7/H2-Ob/Lyn/Rasal3/Aif1/Lck/Lilra6/Tlr6/Tnfsf13b/Tlr4/Btk/Nlrp3/Ptafr/Ccl19/Rhoh/Cd86/Cd177/H2-M3/Ptpn6/Cd226/Mmp8/Gata3/Lgals9/Ptpn22/Vav1/Runx1/Tnfrsf14/Il23r/Il27ra/Cd27/Sash3/Il12rb1/Slamf1/Il1a/Ighv1-82/H2-DMb1/Pycard/Igha/H2-Oa/H2-Q10/Tespa1/Tlr9/Cd6/Il7r/Socs1/Tnfsf11/Pdcd1lg2/Il4ra/Havcr1/Il1b/Itgb2/H2-T23/Ctsc/Bst1/B2m/Ccr7/Cd40/Il2ra/Card11/Il21/Ptprc/Ighv1-78/Cd28/Sirpb1b/Cd274/Tbx21/Ighv1-53/Clec4d/Ccl3/Iglc2/Tnfsf4/Pirb/Fgr/Runx3/Cd2/Cd5/Lilrb4b/Xcl1/Klrk1/Tnfsf14/Ighg2b/Iglc3/Ccr2/H2-Q7/Pira2/H2-Eb1/Sirpb1a/Ighv1-42/Iglc1/H2-Ab1/Icos/Cd74/Tnf/Ccl2/H2-Aa/Igkc/Ighv1-64/Il12b/Fcgr4/Ighv1-55/Ifng/Ighv14-4/Klrc2/Ighv9-3/Ighg3/Il10/Cd3e/Ighv1-12/Cd40lg/Klrc3/Ccl5/Klrc1
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY	GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY	287	-0.8268434204121893	-2.2540112046143093	2.6254343519198173e-44	1.5595080050403714e-41	1.1424784853512132e-41	1828	tags=49%, list=8%, signal=46%	Tnfsf13/Trbc2/Cd70/Tcirg1/H2-DMa/Il13ra2/Il1r1/Il9r/Mr1/Trex1/C6/Fut7/Tgfb1/Cd160/Clcf1/Il6/Sla2/Il2/H2-Q1/Serpinb9/Myd88/Lta/C2/Ighg2c/H2-M2/Unc13d/Nckap1l/Lag3/Foxp3/Inpp5d/Havcr2/C1qa/Ighm/C1qb/Raet1e/C1qc/H2-Ob/Ifnb1/Parp3/Was/Icam1/C1rb/Btk/Sh2d1b2/Nlrp3/Ctsh/C1rl/C4b/H2-M3/Ptpn6/Cd226/Ripk3/Il18r1/Fcer1g/Gata3/Lgals9/Cd19/Vav1/Il23r/Tnfrsf1b/Ulbp1/Il27ra/Cd27/Sash3/Il12rb1/Il21r/Slamf1/Ighv1-82/H2-DMb1/Igha/H2-Oa/H2-Q10/Csf2rb2/Il7r/Il4ra/Crtam/C1s1/Il1b/Bcl3/Gapt/H2-T23/H2-D1/Ctsc/Serping1/B2m/Fcgr1/Fcgr2b/Myo1g/Cd40/Rsad2/Batf/Il21/Ptprc/Ighv1-78/Cd28/Tbx21/Slamf6/Ighv1-53/Arg1/Tlr8/Iglc2/Tnfsf4/Pirb/Irf7/Lilrb4b/Xcl1/Klrk1/Ighg2b/Iglc3/Ccr2/H2-Q7/Cd96/H2-Eb1/Klrd1/Ighv1-42/Iglc1/H2-Ab1/Cd74/Tnf/Ncr1/H2-Aa/Igkc/Ighv1-64/Il12b/Fcgr4/Cd8a/Ighv1-55/Ighv14-4/Klrc2/Ighv9-3/Prf1/Ighg3/Il10/C3/Ighv1-12/Slamf7/Cd40lg/Nkg7/Klrc3/Klrc1/Gzmb
GOBP_T_CELL_ACTIVATION	GOBP_T_CELL_ACTIVATION	461	-0.7610950634438811	-2.0856882342840195	1.2418021454635288e-42	6.1469206200444676e-40	4.503166727496692e-40	2742	tags=48%, list=12%, signal=43%	Coro1a/Ctsl/Zbtb16/Loxl3/Gpam/Ada/Malt1/Cracr2a/Mill2/Igf2/Cbfb/Myh9/Ripk2/Cebpb/Lepr/Eomes/Sdc4/Vsir/Adam8/Relb/Atp7a/Casp3/Fadd/Adam17/Pik3cd/Pla2g2d/Stat3/Hfe/Il1rl2/Rab27a/Cdk6/Stat6/Zfp36l2/Cav1/Icosl/Ccdc88b/Cd70/Gpr183/Zap70/Il15/Tcirg1/H2-DMa/Bmp4/Il6ra/Psmb10/Spta1/Mr1/Trex1/Rab29/Fut7/Tnfrsf4/Tnfrsf13c/Igfbp2/Cd160/Il6/Ebi3/Ccr9/Sla2/Cd80/Map3k8/Il2/Cgas/Cd300a/Nlrc3/Mafb/Dpp4/Hlx/Zc3h12a/Tgfbr2/Apbb1ip/Vcam1/Lgals1/Nckap1l/Lag3/Foxp3/Dock8/Jak3/Laptm5/Vsig4/Cd7/Prdm1/Tnfaip8l2/Syk/Pik3cg/Havcr2/Ptger4/Anxa1/Il7/H2-Ob/Lyn/Ifnb1/Rasal3/Aif1/Msn/Lck/Was/Ctsg/Icam1/Tnfsf18/Tnfsf13b/Nlrp3/Cd84/Casp8/Ccl19/Rhoh/Cd86/Spi1/H2-M3/Ptpn6/Wdfy4/Slc11a1/Ripk3/Il18r1/Fcer1g/Dock2/Gata3/Lgals9/Themis/Ptpn22/Vav1/Runx1/Tnfrsf14/Il23r/Tnfrsf1b/Clec4a3/Il27ra/Cd27/Sash3/Il12rb1/Lat/Slamf1/Il1a/H2-DMb1/Lcp1/Pycard/Slamf9/H2-Oa/H2-Q10/Tespa1/Irf4/Irf1/Cd6/Il7r/Cd44/Socs1/Tnfsf11/Pdcd1lg2/Elf4/Il4ra/Crtam/Jaml/Il1b/Itk/Bcl3/Hsh2d/H2-T23/Lax1/Tigit/Tarm1/B2m/Rac2/Fcgr2b/Ccr7/Rsad2/Batf/Treml2/Il2ra/Il27/Tnfsf8/Card11/Gpnmb/Cd48/Il21/Ptprc/Cd3d/Fgl2/Lgals3/Cd28/Sit1/Sirpb1b/Cd274/Tbx21/Slamf6/Clec4d/Ctla4/Ly9/Arg1/Spn/Tnfsf4/Itgal/Pirb/Runx3/Gpr18/Cd2/Cd5/Lilrb4b/Xcl1/Klrk1/Tnfsf14/Ccr2/H2-Q7/H2-Eb1/Clec4e/Sirpb1a/H2-Ab1/Icos/Cd74/Ccl2/H2-Aa/Il12b/Cd8a/Ifng/Cd3g/Il10/Cd3e/Slamf7/Cd8b1/Cd40lg/Nkg7/Ccl5/Klrc1
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	256	-0.8315238010478083	-2.2654309383688678	1.7341812203924605e-42	6.43814778070701e-40	4.7165165559884425e-40	1647	tags=46%, list=7%, signal=44%	Trdv2-2/Il13ra2/Il1r1/Trex1/Angpt1/Tnfrsf4/Tgfb1/Cd160/Clcf1/Tlr3/Il6/Klk1b27/Il2/Cgas/Ffar2/H2-Q1/Lacc1/Trdv5/Foxp3/Jak3/Laptm5/Rigi/Plcg2/H2-Ob/Ifnb1/Mzb1/Parp3/Samhd1/Tlr4/Igkv8-21/Btk/Nlrp3/Cd86/H2-M3/Klk1/Cd226/Il18r1/Trav12-1/Gata3/Ptpn22/Tnfrsf14/Igkv12-44/Tnfrsf1b/Il27ra/Sash3/Cd36/Slamf1/H2-DMb1/Slamf9/Hmox1/H2-Oa/H2-Q10/Tlr9/Trem1/Igkv12-41/Igkv8-27/Il4ra/Igkv9-120/Il1b/Igkv10-94/Cd22/Igkv5-48/Trav12d-2/Gapt/H2-T23/B2m/Igkv13-84/Fcgr2b/Cd40/Rsad2/Batf/Il21/Bst2/Ptprc/Klk1b9/Igkv9-129/Cd28/Igkv17-127/Trav16d-dv11/Iglv3/Tbx21/Igkv1-110/Igkv5-43/Arg1/Tnfsf4/Pirb/Igkv10-96/Scimp/Lilrb4b/Igkv5-39/Xcl1/Igkv14-111/Ccr2/Trav12n-3/H2-Q7/Cd96/Igkv17-121/Igkv8-30/H2-Eb1/Igkv1-117/Trav6n-6/H2-Ab1/Cd244a/Cd74/Igkv11-125/Tnf/H2-Aa/Igkc/Igkv2-109/Trav6-1/Trav12-3/Trav16/Igkv1-135/Igkv16-104/Il10/Trav6d-6/Cd40lg/Trav16n/Igkv13-85
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	300	-0.8140436489457314	-2.2178702581984755	1.6981677877947873e-42	6.43814778070701e-40	4.7165165559884425e-40	2237	tags=53%, list=10%, signal=48%	Fadd/Adam17/Ighv14-3/Trem2/Stat3/Hfe/C8b/Rab27a/Il17ra/Ighv1-63/Stat6/Tnfsf13/Trbc2/Cd70/Tcirg1/H2-DMa/Il1rl1/Tnfaip3/Il6ra/Il13ra2/Pla2g4a/Il1r1/Il9r/Mr1/Trex1/C6/Fut7/Tgfb1/Clcf1/Il6/Ebi3/Sla2/Cd80/Il2/H2-Q1/Hlx/Zc3h12a/Myd88/Lta/C2/Ighg2c/H2-M2/Nfkb2/Unc13d/Nckap1l/Foxp3/Jak3/Inpp5d/Havcr2/C1qa/Anxa1/Ighm/C1qb/C1qc/H2-Ob/Ifnb1/Parp3/Was/Icam1/Tnfsf13b/Clec4n/C1rb/Tlr4/Btk/Nlrp3/Ccl19/Ctsh/C1rl/C4b/H2-M3/Ptpn6/Cd226/Slc11a1/Ripk3/Il18r1/Fcer1g/Gata3/Cd19/Il23r/Il18bp/Tnfrsf1b/Il27ra/Cd27/Sash3/Il12rb1/Il21r/Slamf1/Klhl6/Ighv1-82/H2-DMb1/Igha/H2-Oa/H2-Q10/Irf4/Csf2rb2/Il7r/Il4ra/Crtam/C1s1/Il1b/Bcl3/Gapt/H2-T23/H2-D1/Ctsc/Serping1/B2m/Fcgr1/Fcgr2b/Myo1g/Cd40/Rsad2/Batf/Il27/Ptprc/Ighv1-78/Cd28/Cd274/Tbx21/Slamf6/Ighv1-53/Ly9/Cxcl13/Arg1/Tlr8/Iglc2/Spn/Tnfsf4/Pirb/Irf7/Lilrb4b/Xcl1/Ighg2b/Iglc3/Ccr2/H2-Q7/H2-Eb1/Klrd1/Ighv1-42/Iglc1/H2-Ab1/Cd74/Tnf/H2-Aa/Igkc/Ighv1-64/Il12b/Fcgr4/Cd8a/Ighv1-55/Ighv14-4/Ighv9-3/Prf1/Ighg3/Il10/C3/Ighv1-12/Cd40lg/Klrc1
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	309	-0.8012100188667547	-2.1858570238067925	5.361530330448913e-40	1.7693050090481414e-37	1.2961734728699304e-37	2052	tags=45%, list=9%, signal=41%	C8b/Stap1/Cmtm3/Sh2b2/Ighv1-63/Bmx/Nlrc4/C5ar2/Icosl/Trbc2/Zap70/Nfam1/Trex1/C6/Aim2/Rab29/Fyb2/Cd160/Tec/Elf1/Sla2/Cgas/Cd300a/Lcp2/Btnl2/Cd38/Ffar2/Zc3h12a/Txk/C2/Ighg2c/Cfh/Skap1/Nckap1l/Foxp3/Tyrobp/Laptm5/Cmklr1/Vsig4/Plscr1/Inpp5d/Syk/C1qa/Cd79a/Ighm/C1qb/Plcg2/C1qc/Lyn/Ubash3a/Lck/Mndal/Lilra6/Clec4n/C1rb/Tlr4/Btk/Lat2/Trim5/C1rl/Ms4a1/C4b/Ptpn6/Cd226/Fcer1g/Cd79b/Lpxn/Gata3/Cd19/Themis/Ptpn22/Vav1/Trim12c/Gcsam/Sting1/Klhl6/Pvrig/Ighv1-82/Fpr2/Pycard/Igha/H2-Q10/C5ar1/Tespa1/C1s1/A2m/Kcnn4/Il1b/Hck/Cd5l/Itk/Cd22/C3ar1/Cfb/Lax1/Cd247/Serping1/Fcgr2b/Themis2/Myo1g/Ccr7/Card11/Ptprc/Ighv1-78/Lgals3/Cd28/Ighv1-53/Ctla4/Blk/Iglc2/Gpr33/Fgr/Lilrb4b/Klrk1/Ighg2b/Iglc3/H2-Q7/Pira2/H2-Eb1/Klrd1/Ifi204/Ighv1-42/Iglc1/H2-Ab1/Igkc/Ighv1-64/Cd8a/Zbp1/Ighv1-55/Ighv14-4/Klrc2/Ighv9-3/Ighg3/C3/Ighv1-12/Cd8b1/Ifi205/Klrc3/Klrc1
GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS	GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS	334	-0.7896377814839732	-2.1587698820999996	5.78783021432123e-39	1.7189855736534053e-36	1.2593100055791562e-36	2083	tags=46%, list=9%, signal=42%	Hfe/Wnt5a/Adgre5/Stap1/Trim6/Stat6/Cx3cr1/Spon2/Tnfsf13/Gata1/Il13ra2/Il1r1/Mr1/Trex1/Angpt1/Fut7/Tnfrsf4/Tgfb1/Cd160/Clcf1/Vamp8/Tlr3/Il6/Klk1b27/Cd80/Il2/Cgas/Cd300a/Ffar2/H2-Q1/Serpinb9/Hlx/Zc3h12a/Lacc1/Lta/Cfh/H2-M2/Unc13d/Grn/Nckap1l/Lag3/Foxp3/Jak3/Tyrobp/Laptm5/Vsig4/Itgam/Syk/Rigi/Havcr2/Anxa1/Plcg2/Raet1e/Lyn/Ifnb1/Mzb1/Ncf1/Fes/Parp3/Was/Icam1/Tlr4/Btk/Sh2d1b2/Nlrp3/Cd84/Ptafr/Ccl19/Cd86/Cd177/Spi1/H2-M3/Ptpn6/Klk1/Cd226/Ripk3/Il18r1/Gata3/Lgals9/Ptpn22/Vav1/Tnfrsf14/Il23r/Nos2/Tnfrsf1b/Il27ra/Sash3/Cd36/Il12rb1/Slamf1/H2-DMb1/Hmox1/H2-Q10/Dhx58/Tlr9/Irf4/Il7r/Il4ra/Crtam/A2m/Il1b/Itgb2/Cd5l/Cd22/H2-T23/H2-D1/Serping1/B2m/Rac2/Fcgr2b/Cd40/Rsad2/Il27/Ddx60/Il21/Bst2/Ptprc/Klk1b9/Fgl2/Lgals3/Cd28/Tbx21/Slamf6/Dnase1l3/Blk/Arg1/Pglyrp2/Tnfsf4/Pirb/Fgr/Slamf8/Scimp/Lilrb4b/Xcl1/Klrk1/Ccr2/H2-Q7/Cd96/H2-Eb1/Klrd1/Cd244a/Cd74/Tnf/Ncr1/Il12b/Ifng/Klrc2/Il10/C3/Cd40lg/Klrc3/Klrc1
