query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	5.640507385792648e-154	6250	7769	3171	0.408160638434805	0.50736	GO:0048518	GO:BP	positive regulation of biological process	21031	13226	
query_1	TRUE	1.7860908189216886e-148	8976	7769	4225	0.5438280344960741	0.47069964349376114	GO:0050896	GO:BP	response to stimulus	21031	13774	
query_1	TRUE	4.3245898445931577e-147	7394	7769	3609	0.4645385506500193	0.48809845820935893	GO:0051716	GO:BP	cellular response to stimulus	21031	14364	
query_1	TRUE	4.887080824381608e-138	5717	7769	2908	0.37430814776676535	0.5086583872660486	GO:0048522	GO:BP	positive regulation of cellular process	21031	13230	
query_1	TRUE	1.7539781318124519e-127	6537	7769	3209	0.4130518728279058	0.49089796542756614	GO:0007154	GO:BP	cell communication	21031	2749	
query_1	TRUE	5.643542309111269e-124	6447	7769	3162	0.40700218818380746	0.4904606793857608	GO:0023052	GO:BP	signaling	21031	6877	
query_1	TRUE	4.190712731388171e-119	6453	7769	3149	0.40532887115458877	0.4879900821323416	GO:0032502	GO:BP	developmental process	21031	7884	
query_1	TRUE	6.17970049879366e-118	5899	7769	2922	0.3761101814905393	0.49533819291405323	GO:0048856	GO:BP	anatomical structure development	21031	13525	
query_1	TRUE	1.0018339537420929e-113	12680	7769	5464	0.7033080190500708	0.4309148264984227	GO:0065007	GO:BP	biological regulation	21031	16384	
query_1	TRUE	4.145763774045774e-113	5959	7769	2931	0.37726863174153685	0.4918610505118308	GO:0007165	GO:BP	signal transduction	21031	2760	
query_1	TRUE	3.8172267534757284e-111	3939	7769	2085	0.26837430814776675	0.5293221629855294	GO:0048583	GO:BP	regulation of response to stimulus	21031	13279	
query_1	TRUE	9.464325487076566e-111	5520	7769	2745	0.3533273265542541	0.49728260869565216	GO:0051179	GO:BP	localization	21031	14002	
query_1	TRUE	1.2981950591610076e-108	12287	7769	5308	0.6832282146994465	0.43200130218930577	GO:0050789	GO:BP	regulation of biological process	21031	13687	
query_1	TRUE	1.6341764246048615e-108	5986	7769	2927	0.37675376496331575	0.48897427330437687	GO:1901564	GO:BP	organonitrogen compound metabolic process	21031	22098	
query_1	TRUE	2.5448325910800942e-107	7669	7769	3589	0.46196421675891364	0.46798800365106275	GO:0032501	GO:BP	multicellular organismal process	21031	7883	
query_1	TRUE	4.4357358199001354e-103	4350	7769	2236	0.2878105290256146	0.5140229885057471	GO:0006810	GO:BP	transport	21031	2519	
query_1	TRUE	3.592925323634311e-102	3437	7769	1843	0.2372248680653881	0.5362234506837358	GO:0023051	GO:BP	regulation of signaling	21031	6876	
query_1	TRUE	6.936590729808629e-101	3443	7769	1842	0.23709615137083279	0.5349985477781005	GO:0010646	GO:BP	regulation of cell communication	21031	4342	
query_1	TRUE	2.256150265187453e-98	4643	7769	2344	0.3017119320375853	0.5048460047383158	GO:0007275	GO:BP	multicellular organism development	21031	2835	
query_1	TRUE	9.928552835683697e-93	3855	7769	1995	0.25678980563779125	0.5175097276264592	GO:0006950	GO:BP	response to stress	21031	2613	
query_1	TRUE	1.3195546286160694e-92	11738	7769	5054	0.6505341742824045	0.4305673879706935	GO:0050794	GO:BP	regulation of cellular process	21031	13691	
query_1	TRUE	1.4661501638963564e-90	3010	7769	1624	0.20903591195778093	0.5395348837209303	GO:0009966	GO:BP	regulation of signal transduction	21031	3842	
