GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0005488	binding	13130	6945	6422.06	< 1e-30
GO:0005515	protein binding	9115	4990	4458.27	< 1e-30
GO:0036094	small molecule binding	5480	2987	2680.34	1.5e-22
GO:0005102	signaling receptor binding	1511	917	739.05	8.5e-22
GO:0043167	ion binding	5276	2876	2580.56	1.5e-21
GO:0019899	enzyme binding	2302	1316	1125.94	2.1e-17
GO:0097367	carbohydrate derivative binding	2157	1235	1055.02	1.3e-16
GO:0042802	identical protein binding	2337	1318	1143.06	7.7e-15
GO:1901363	heterocyclic compound binding	2201	1245	1076.54	1.5e-14
GO:0003824	catalytic activity	5383	2867	2632.9	4.9e-14
