GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0002376	immune system process	2581	1644	1257.31	< 1e-30
GO:0002682	regulation of immune system process	1575	1048	767.25	< 1e-30
GO:0048518	positive regulation of biological proces...	6298	3551	3068.02	< 1e-30
GO:0006955	immune response	1716	1120	835.94	< 1e-30
GO:0006950	response to stress	3706	2200	1805.35	< 1e-30
GO:0048583	regulation of response to stimulus	3982	2340	1939.8	< 1e-30
GO:0002684	positive regulation of immune system pro...	1109	765	540.24	< 1e-30
GO:0006952	defense response	1690	1097	823.27	< 1e-30
GO:0048522	positive regulation of cellular process	5785	3263	2818.11	< 1e-30
GO:0050776	regulation of immune response	906	642	441.35	< 1e-30
GO:0048584	positive regulation of response to stimu...	2358	1461	1148.68	< 1e-30
GO:0009987	cellular process	15874	8137	7732.89	< 1e-30
GO:0045321	leukocyte activation	1018	706	495.91	< 1e-30
GO:0001775	cell activation	1143	777	556.8	< 1e-30
GO:0007166	cell surface receptor signaling pathway	2644	1606	1288	< 1e-30
GO:0048519	negative regulation of biological proces...	5473	3075	2666.13	< 1e-30
GO:0050778	positive regulation of immune response	742	532	361.46	< 1e-30
GO:0098542	defense response to other organism	1145	764	557.78	< 1e-30
GO:0051239	regulation of multicellular organismal p...	3181	1876	1549.6	< 1e-30
GO:0046649	lymphocyte activation	840	584	409.2	< 1e-30
GO:0048523	negative regulation of cellular process	5044	2837	2457.14	< 1e-30
GO:0045087	innate immune response	889	609	433.07	< 1e-30
GO:0009607	response to biotic stimulus	1508	957	734.61	< 1e-30
GO:0051707	response to other organism	1469	935	715.61	< 1e-30
GO:0044419	biological process involved in interspec...	1616	1016	787.22	< 1e-30
GO:0140546	defense response to symbiont	1038	691	505.65	< 1e-30
GO:0043207	response to external biotic stimulus	1471	935	716.59	< 1e-30
GO:0009605	response to external stimulus	2585	1533	1259.26	< 1e-30
GO:0065007	biological regulation	11682	6093	5690.79	2.3e-30
GO:0050794	regulation of cellular process	10755	5644	5239.21	3.4e-30
GO:0051179	localization	5234	2904	2549.7	3.5e-30
GO:0050789	regulation of biological process	11319	5916	5513.96	4.5e-30
GO:0009966	regulation of signal transduction	3019	1755	1470.68	1.8e-29
GO:0001816	cytokine production	903	602	439.89	7.1e-29
GO:0002252	immune effector process	691	478	336.61	1.5e-28
GO:0050865	regulation of cell activation	648	452	315.67	2.6e-28
GO:0008283	cell population proliferation	2071	1245	1008.87	3.2e-28
GO:0006954	inflammatory response	812	547	395.56	5.4e-28
GO:0002694	regulation of leukocyte activation	594	418	289.36	1.6e-27
GO:0023051	regulation of signaling	3542	2016	1725.46	3.5e-27
GO:0002253	activation of immune response	547	389	266.47	4.0e-27
GO:0042110	T cell activation	601	421	292.77	4.8e-27
GO:0080134	regulation of response to stress	1391	870	677.61	4.9e-27
GO:0010646	regulation of cell communication	3543	2014	1725.94	9.5e-27
GO:0002764	immune response-regulating signaling pat...	479	347	233.34	1.1e-26
GO:0031347	regulation of defense response	812	543	395.56	1.3e-26
GO:0001817	regulation of cytokine production	827	551	402.87	2.2e-26
GO:0032103	positive regulation of response to exter...	654	450	318.59	3.7e-26
GO:0002250	adaptive immune response	491	353	239.19	4.1e-26
GO:0002757	immune response-activating signaling pat...	468	339	227.98	4.4e-26
GO:0008152	metabolic process	10771	5621	5247	4.7e-26
GO:0016043	cellular component organization	6295	3410	3066.56	1.2e-25
GO:0002831	regulation of response to biotic stimulu...	548	386	266.95	1.3e-25
GO:0071310	cellular response to organic substance	1976	1182	962.59	1.4e-25
GO:0045088	regulation of innate immune response	455	330	221.65	1.4e-25
GO:0071840	cellular component organization or bioge...	6501	3512	3166.91	1.8e-25
