Symbol	SRR2182228	SRR2182229	SRR2182230	SRR2182231	SRR2182232	SRR2182233	SRR2182234	SRR2182235	SRR2182285	SRR2182286	SRR2182287	SRR2182288	SRR2182289	SRR2182290	SRR2182291	SRR2182292	SRR2182293	SRR2182294	SRR2182295	SRR2182296	SRR2182297	SRR2182298	SRR2182299	SRR2182300	SRR2182301	SRR2182302	SRR2182303	SRR2182304	SRR2182305	SRR2182306	SRR2182307	SRR2182308	SRR2182309	SRR2182310	SRR2182311	SRR2182312	SRR2182313	SRR2182314	SRR2182315	SRR2182316	SRR2182317	SRR2182318	SRR2182319	SRR2182320	SRR2182321	SRR2182322	SRR2182323	SRR2182324	SRR2182325	SRR2182326	SRR2182327	SRR2182328	SRR2182329	SRR2182330	SRR2182331
COX1	1229977	1090248	1053801	1251180	1219475	1519119	1586430	1036078	1348359	623428	1094328	921932	458974	2066228	841629	1004178	735073	463958	1505378	708761	1104752	2432316	885937	1059433	1395580	753353	1103996	1909406	1016374	2287253	844798	1010121	549360	475190	1148240	894524	428041	496046	816204	1574436	624148	1508488	764317	1261814	786715	2832656	554775	1521534	680796	389957	856854	1131017	553438	2877084	494830
COX2	441803	363620	363905	417348	403945	518419	555515	343384	518523	260066	390037	355819	165101	804973	323255	377656	265606	251900	528578	249072	392239	995640	324827	374223	515636	289146	396094	657277	375089	888411	303568	335202	188681	175328	390520	297614	139959	184920	279074	534116	205171	547818	272958	429627	270485	994957	202990	826541	226660	137118	314647	383966	185653	996010	179937
CYTB	416804	344423	317203	388078	411920	478351	485839	321170	569219	234882	421766	384812	188233	854758	343400	412881	302782	150245	578265	263600	411541	947056	340834	420377	569792	300895	432236	733729	414318	897204	330139	354461	188987	182203	401127	338322	156593	184836	287264	574710	228492	553902	268542	460475	262827	997661	187163	365398	245117	132910	295672	389328	200804	997190	161300
COX3	415792	336009	340797	400845	386981	493769	525631	326725	495654	265081	395146	338699	160377	765156	301817	357793	259936	230605	536550	270926	406449	951292	322550	387004	510462	285522	409911	715158	371194	867519	307046	333569	184320	157164	381549	312169	135016	167096	273316	539310	197061	482139	258285	402725	272312	920250	184904	903102	225009	131274	286301	359318	183582	941960	166035
ATP6	412981	358018	329715	426370	403268	508661	512063	347195	500155	233775	397264	339047	163205	752997	315383	364896	261887	147903	522928	254460	378429	882452	313614	385284	502658	272076	391273	637626	363521	825489	301264	320196	183376	168329	373772	329070	144389	177453	269338	536768	212467	520404	255058	408782	246872	931106	186984	493727	227316	128679	286035	372256	185800	947750	157030
ND4	397726	349319	293075	410214	369498	489723	467830	350199	456412	182136	376375	310068	156365	721003	292210	337360	252531	84676	497335	234117	349453	717687	282369	368892	446789	246401	360809	599848	324391	729299	274390	303701	157470	152389	332418	291100	134027	150743	239959	486333	196721	451216	215594	395428	225699	888619	160183	181627	221285	118564	246575	345791	181150	901873	136642
Meg3	243989	143401	217001	116255	114194	145578	185767	76994	204508	77551	194064	165844	73521	519857	164716	177318	116864	69325	400121	232627	281523	597773	169041	309395	335749	209450	255326	577818	243022	595297	182491	383256	141906	131965	280815	239168	109277	130317	224098	430475	156106	432291	223556	277578	93710	685312	84617	257327	96749	105070	141661	164415	77371	588868	84209
Camk2a	161436	218834	110163	166653	177091	176785	150222	183769	76694	20523	100394	58686	30442	137996	81946	76208	47413	14694	141064	58179	99975	155908	63770	90421	97183	55737	95569	149249	70876	174589	68944	133371	60535	51690	130192	95759	53926	42495	86709	141274	76988	159943	83096	271381	152831	731496	111751	181405	153794	83657	169468	222997	124143	714418	96839
ND1	291292	231792	226450	268764	249860	323638	350480	227770	320827	143688	247773	221207	108844	479968	192864	229796	176071	112660	333729	143413	228585	535447	191394	237021	312340	165649	240265	384770	227528	513039	180046	201354	110455	103776	232300	184336	92761	108763	167831	320683	135718	325542	154887	277653	165884	626915	119516	255359	148415	85456	183664	242598	120660	632727	100315
ND5	297183	251404	221400	271291	282992	326935	332889	260922	287385	99359	262981	199426	106330	485007	215926	234327	172250	41907	380896	137360	216308	416929	186050	215244	260034	148189	231465	323886	189198	440515	180521	212164	107063	97053	242188	176962	89820	100465	168063	305839	131881	313635	154977	295058	156387	640527	120425	110993	141354	83320	183936	244581	114740	651082	101330
ND2	241269	200933	186244	237976	211658	279912	289416	199966	261807	105079	209210	186524	89473	409859	168800	197659	144259	71300	279513	118057	184837	413517	156953	194200	247473	134457	194838	307563	180676	414969	150065	163757	88956	88542	190029	157628	74566	90538	136681	271005	110058	271597	128924	234529	131250	519465	102228	131292	122502	68605	155921	206893	100201	527762	83965
Mbp	19506	40603	33390	27615	32581	40655	46742	53068	178471	103961	108642	131387	82574	306578	65198	126358	130456	107816	178310	73920	107502	225009	71175	109187	145603	76340	93823	217917	105500	205778	67289	246765	137128	95435	414961	137598	147523	125090	315156	510149	212653	364544	156467	69763	34374	122684	21573	55907	31687	13144	30079	40926	25735	131904	21874
Kif5a	151364	124870	147318	135513	101082	164732	199391	121473	179894	80012	145080	123286	72437	291734	105650	143053	116523	57500	256665	56826	92170	171274	66390	89000	100780	63266	81293	171588	72988	185747	56556	284189	151707	111061	413307	198565	142786	131181	294974	469102	207886	418879	183238	166682	94452	361881	61292	139982	82235	45657	91790	121150	66342	356063	56460
Atp1a3	130211	145263	106468	141018	97616	163124	158425	145355	182551	85409	102068	122847	68604	267608	82686	126415	110418	65853	200756	67064	125221	259930	71800	116251	148273	68560	100663	200791	107416	239643	76285	161346	81410	60207	128855	126583	63872	59913	97346	178278	92043	195886	87190	255115	134744	525236	78224	333503	124441	61772	118345	190019	100607	511996	72648
Slc1a2	215519	187223	151244	261655	189286	226901	223671	144718	103414	32711	157422	81885	39271	222987	101002	96360	62005	22474	210522	67891	110163	158745	86097	106569	112513	69095	132924	191130	81139	201876	91519	190324	76188	75533	213234	118384	74027	64407	152336	254998	108079	246279	122332	190953	93390	454216	70122	72380	102232	63735	113876	151042	78002	514313	67359
Ncdn	79017	113076	45850	97679	92571	89787	71364	88700	119372	52756	88693	82577	52250	186563	75539	90859	83871	51776	149858	83311	129880	241626	79682	121272	180315	81613	115424	224443	130868	245877	79058	120053	43830	43955	84261	87864	36782	36585	60966	135288	53407	109343	56202	155025	91498	383452	66590	282734	94446	45533	100883	122392	76923	382436	54800
Cpe	154871	118656	97109	174726	136193	166717	167086	127166	114240	54286	88649	79931	44084	172928	74250	92125	71083	85431	146195	51644	100940	182737	59346	81128	116899	54461	81902	157163	85590	158896	53956	137357	71339	55328	141906	94229	54923	56920	103484	184318	79360	169809	92165	189264	122710	413382	81092	312496	104541	52924	119992	170119	84798	389065	72621
Ndrg4	72098	70748	54161	67143	61938	72471	76069	49612	135827	53442	110248	99180	45605	213084	73395	91097	72341	41896	147418	111068	161983	335268	103408	173433	206428	102293	146728	283088	148619	322227	111225	119003	54529	48235	110491	121184	46922	49411	79777	177749	66960	140312	68179	118558	58788	255944	42105	101287	59420	32832	67694	85879	48841	250421	36808
Plp1	21943	41115	33170	31881	36950	40885	43769	64133	111330	66109	83687	85819	51349	225063	51819	85141	82790	91323	142399	55621	76422	166741	58811	77114	95916	56930	76226	157950	70188	154123	53519	160864	92386	65708	291039	100772	96928	88086	229902	349301	139744	250282	113689	48904	24925	95432	18730	29536	22859	10413	25180	30629	18228	102420	17298
Gapdh	97632	97902	94240	98608	100669	113733	137611	110740	134109	68611	91754	91239	47651	196316	71767	90608	77049	64652	146787	59887	106926	243073	69437	98668	135219	66479	95122	177018	98358	211217	68004	126046	63683	52697	136065	101307	51224	55941	98193	164125	75184	163253	86766	140584	85799	317194	59668	371631	75175	39248	91388	107482	60870	303083	52716
Eef1a1	126671	162972	142500	193203	251811	217474	216243	183838	130024	63695	89524	86949	48049	193853	71685	94755	76345	64803	149945	79265	131422	264781	79364	110694	169573	80020	110536	207022	122100	226911	78075	139785	65272	55963	143753	104734	52141	56435	101938	203243	75827	154666	89702	136633	80996	288875	53919	212882	74853	39303	89390	104666	61274	287689	48692
Calm1	118247	111138	98465	109586	117179	132200	134827	109339	116632	46361	112381	88301	42092	199427	89891	96172	66825	38337	156274	72789	112399	224072	76810	105751	134474	71667	111185	173630	96749	220730	80022	156302	74138	59107	150308	110296	57935	58636	107445	185208	84651	180003	96502	155251	93063	362081	64683	141127	81636	45289	102335	125337	65161	353586	57899
Hspa8	72507	81446	67533	95247	85102	108706	107523	100241	116557	64825	71202	83742	41303	176672	59033	84443	66217	61533	135523	53550	94582	214556	51923	84514	108803	56022	71670	152765	78030	168602	53857	126663	65543	50148	117685	101436	46165	51283	86523	167507	66465	142483	77905	139107	79683	306377	49683	263922	67991	36553	77706	109009	54220	275176	47205
Snap25	100315	97692	70705	88858	73980	95931	113550	94972	83247	37612	67503	56016	29977	132950	56237	59956	47981	36795	107063	33462	63023	141963	44392	58519	69329	38254	53479	94229	50071	129728	39400	99826	58724	40970	115031	86155	43104	50471	80476	115870	63332	154470	69681	127447	75133	327869	62969	128483	68393	35088	88232	100058	55207	296605	50699
Hsp90ab1	78233	79926	64190	83511	77604	88558	91026	92593	90909	41915	69042	74090	34638	153966	58963	78887	58055	44814	126517	54787	98076	184340	56699	86045	109892	54453	83535	154609	79203	161800	60039	120297	64024	45534	111600	85967	49142	47285	86813	165498	74557	140353	74115	135386	77694	298199	50276	156080	66311	35017	75573	114918	51376	278999	44625
